Time,M_CompDis,P_CompDis,D_CompDis,T_CompDis,H_CompDis,P_OgcOut,D_OgcOut,T_OgcOut,H_OgcOut,P_EvapExvIn,D_EvapExvIn,T_EvapExvIn,H_EvapExvIn,P_EvapExvOut,D_EvapExvOut,T_EvapExvOut,H_EvapExvOut,P_EvapOut,D_EvapOut,T_EvapOut,H_EvapOut,P_CompSuc,D_CompSuc,T_CompSuc,H_CompSuc,CompSpeed,EvapExvOpening,T_Amb,Vel_Ogc,T_Incar,RH_Incar,Vol_Incar,Optimal_HP,Wcomp,Qc,COP,
40,128.971,124.155,240.343,106.875,495.593,118.486,671.757,43.4884,309.585,116.995,761.65,34.9444,280.74,51.8177,433.634,15.7971,280.962,48.8248,168.915,13.3342,395.644,48.4023,128.804,22.134,440.416,4000,0.0178917,43,2.5,40,40,501.57,118.78,2534.31,3971.69,1.56717,
41,128.247,124.112,239.674,107.183,496.141,118.495,671.911,43.4793,309.543,117.02,762.739,34.8337,280.389,51.6131,432.718,15.6323,280.577,48.6287,167.364,13.1689,396.507,48.2078,128.08,22.0316,440.638,4000,0.0177575,43,2.5,40,40,501.57,118.78,2534.69,4010.79,1.58236,
42,127.58,124.075,239.063,107.471,496.65,118.505,672.085,43.4693,309.495,117.045,763.677,34.7387,280.086,51.4238,431.727,15.4793,280.247,48.4478,165.876,13.0158,397.389,48.0283,127.415,21.9368,440.841,4000,0.0176332,43,2.5,40,40,501.57,118.78,2535.08,4046.83,1.59633,
43,126.969,124.043,238.503,107.738,497.119,118.517,672.27,43.4586,309.444,117.07,764.49,34.6568,279.825,51.2489,430.699,15.3376,279.962,48.2808,164.462,12.8741,398.273,47.8627,126.804,21.8486,441.027,4000,0.0175188,43,2.5,40,40,501.57,118.78,2535.46,4080.02,1.60918,
44,126.408,124.015,237.993,107.986,497.552,118.528,672.457,43.4479,309.394,117.093,765.2,34.5855,279.598,51.0875,429.662,15.2066,279.716,48.1267,163.13,12.7431,399.14,47.7099,126.243,21.7664,441.197,4000,0.017414,43,2.5,40,40,501.57,118.78,2535.83,4110.57,1.621,
45,125.893,123.99,237.526,108.215,497.95,118.54,672.637,43.4377,309.345,117.116,765.828,34.5226,279.397,50.9386,428.643,15.0854,279.5,47.9846,161.882,12.622,399.979,47.569,125.729,21.6897,441.351,4000,0.0173181,43,2.5,40,40,501.57,118.78,2536.18,4138.68,1.63186,
46,125.42,123.968,237.1,108.427,498.317,118.551,672.806,43.4281,309.299,117.137,766.389,34.4665,279.218,50.8013,427.66,14.9733,279.309,47.8536,160.72,12.5101,400.782,47.439,125.257,21.6182,441.492,4000,0.0172304,43,2.5,40,40,501.57,118.78,2536.51,4164.56,1.64185,
47,124.986,123.948,236.709,108.622,498.654,118.562,672.963,43.4193,309.256,117.157,766.894,34.4159,279.056,50.6747,426.725,14.8698,279.138,47.7327,159.639,12.4066,401.546,47.3192,124.823,21.5517,441.621,4000,0.0171503,43,2.5,40,40,501.57,118.78,2536.81,4188.39,1.65105,
48,124.587,123.93,236.351,108.802,498.964,118.572,673.107,43.4113,309.217,117.175,767.353,34.37,278.91,50.5579,425.844,14.7742,278.983,47.6212,158.638,12.311,402.266,47.2086,124.425,21.4897,441.738,4000,0.017077,43,2.5,40,40,501.57,118.78,2537.08,4210.32,1.65952,
49,124.22,123.913,236.023,108.968,499.25,118.581,673.239,43.4038,309.181,117.191,767.769,34.3283,278.776,50.4502,425.018,14.6858,278.843,47.5183,157.714,12.2226,402.943,47.1065,124.059,21.432,441.845,4000,0.01701,43,2.5,40,40,501.57,118.78,2537.33,4230.53,1.66732,
50,123.883,123.898,235.721,109.121,499.513,118.589,673.361,43.3971,309.149,117.207,768.147,34.2903,278.656,50.3509,424.245,14.6042,278.716,47.4233,156.861,12.1409,403.574,47.0123,123.722,21.3784,441.943,4000,0.0169486,43,2.5,40,40,501.57,118.78,2537.55,4249.14,1.6745,
51,123.573,123.884,235.444,109.262,499.755,118.597,673.472,43.3908,309.118,117.221,768.49,34.2559,278.546,50.2592,423.521,14.5287,278.601,47.3357,156.076,12.0653,404.161,46.9254,123.412,21.3285,442.033,4000,0.0168924,43,2.5,40,40,501.57,118.78,2537.75,4266.29,1.68113,
52,123.287,123.871,235.189,109.392,499.978,118.604,673.574,43.3851,309.091,117.233,768.8,34.2247,278.447,50.1747,422.843,14.4591,278.496,47.2547,155.354,11.9955,404.707,46.8451,123.127,21.2821,442.115,4000,0.0168408,43,2.5,40,40,501.57,118.78,2537.93,4282.1,1.68724,
53,123.024,123.859,234.954,109.512,500.183,118.61,673.668,43.3798,309.065,117.245,769.079,34.1967,278.358,50.0967,422.205,14.3947,278.402,47.1799,154.688,11.9309,405.213,46.7709,122.864,21.239,442.191,4000,0.0167935,43,2.5,40,40,501.57,118.78,2538.09,4296.68,1.69288,
54,122.781,123.848,234.738,109.623,500.373,118.616,673.754,43.3749,309.042,117.256,769.33,34.1716,278.278,50.0247,421.605,14.3352,278.317,47.1108,154.075,11.8711,405.684,46.7024,122.622,21.1989,442.26,4000,0.01675,43,2.5,40,40,501.57,118.78,2538.23,4310.13,1.69808,
55,122.558,123.838,234.54,109.725,500.548,118.621,673.833,43.3704,309.02,117.266,769.553,34.1492,278.206,49.9582,421.038,14.2803,278.241,47.047,153.509,11.8158,406.121,46.6391,122.398,21.1616,442.323,4000,0.0167102,43,2.5,40,40,501.57,118.78,2538.36,4322.53,1.70288,
56,122.352,123.828,234.356,109.82,500.709,118.626,673.906,43.3663,309.001,117.275,769.752,34.1293,278.143,49.8969,420.502,14.2295,278.173,46.988,152.987,11.7647,406.527,46.5806,122.192,21.127,442.382,4000,0.0166736,43,2.5,40,40,501.57,118.78,2538.48,4333.97,1.70731,
57,122.161,123.819,234.188,109.907,500.858,118.63,673.973,43.3625,308.983,117.283,769.927,34.1118,278.087,49.8402,419.993,14.1825,278.114,46.9335,152.504,11.7174,406.906,46.5265,122.003,21.0948,442.435,4000,0.0166399,43,2.5,40,40,501.57,118.78,2538.59,4344.54,1.7114,
58,121.986,123.811,234.032,109.987,500.995,118.634,674.034,43.359,308.966,117.29,770.081,34.0965,278.038,49.7879,419.51,14.1391,278.061,46.8831,152.058,11.6737,407.258,46.4765,121.827,21.0649,442.485,4000,0.016609,43,2.5,40,40,501.57,118.78,2538.68,4354.29,1.71518,
59,121.824,123.804,233.889,110.062,501.121,118.638,674.09,43.3558,308.951,117.297,770.215,34.0833,277.996,49.7396,419.05,14.0991,278.015,46.8365,151.645,11.6332,407.587,46.4303,121.666,21.0372,442.53,4000,0.0165806,43,2.5,40,40,501.57,118.78,2538.77,4363.29,1.71867,
60,121.675,123.797,233.756,110.13,501.238,118.642,674.142,43.3528,308.937,117.304,770.331,34.0719,277.959,49.6949,418.612,14.062,277.975,46.7934,151.263,11.5957,407.894,46.3875,121.516,21.0114,442.572,4000,0.0165545,43,2.5,40,40,501.57,118.78,2538.84,4371.6,1.72189,
61,121.537,123.791,233.634,110.194,501.346,118.645,674.189,43.3501,308.924,117.309,770.429,34.0623,277.928,49.6537,418.193,14.0278,277.941,46.7536,150.908,11.5611,408.181,46.348,121.379,20.9875,442.61,4000,0.0165305,43,2.5,40,40,501.57,118.78,2538.91,4379.28,1.72486,
62,121.409,123.785,233.522,110.252,501.446,118.648,674.233,43.3476,308.912,117.315,770.512,34.0544,277.902,49.6157,417.793,13.9961,277.913,46.7168,150.579,11.529,408.449,46.3115,121.251,20.9654,442.645,4000,0.0165084,43,2.5,40,40,501.57,118.78,2538.98,4386.37,1.72761,
63,121.292,123.779,233.418,110.307,501.538,118.65,674.273,43.3453,308.901,117.32,770.581,34.0479,277.881,49.5805,417.41,13.9668,277.889,46.6827,150.274,11.4993,408.7,46.2777,121.134,20.9448,442.678,4000,0.0164881,43,2.5,40,40,501.57,118.78,2539.04,4392.91,1.73015,
64,121.183,123.774,233.322,110.357,501.623,118.653,674.31,43.3432,308.891,117.324,770.636,34.0428,277.864,49.548,417.042,13.9398,277.87,46.6512,149.99,11.4719,408.935,46.2464,121.025,20.9257,442.708,4000,0.0164695,43,2.5,40,40,501.57,118.78,2539.09,4398.96,1.7325,
65,121.083,123.769,233.233,110.403,501.702,118.655,674.344,43.3412,308.882,117.329,770.679,34.039,277.851,49.5181,416.689,13.9148,277.855,46.6221,149.726,11.4465,409.155,46.2175,120.925,20.908,442.735,4000,0.0164524,43,2.5,40,40,501.57,118.78,2539.14,4404.55,1.73466,
66,120.99,123.765,233.151,110.446,501.774,118.657,674.375,43.3394,308.873,117.332,770.711,34.0364,277.842,49.4904,416.349,13.8918,277.844,46.5951,149.481,11.423,409.361,46.1908,120.833,20.8916,442.761,4000,0.0164366,43,2.5,40,40,501.57,118.78,2539.18,4409.7,1.73667,
67,120.904,123.761,233.075,110.485,501.841,118.659,674.404,43.3378,308.865,117.336,770.732,34.0348,277.836,49.4648,416.023,13.8704,277.836,46.5702,149.253,11.4012,409.555,46.1661,120.747,20.8763,442.784,4000,0.0164222,43,2.5,40,40,501.57,118.78,2539.22,4414.47,1.73851,
68,120.825,123.757,233.006,110.522,501.903,118.66,674.43,43.3363,308.858,117.339,770.744,34.0342,277.833,49.4412,415.708,13.8508,277.831,46.5472,149.04,11.3811,409.737,46.1432,120.668,20.8622,442.806,4000,0.0164089,43,2.5,40,40,501.57,118.78,2539.26,4418.87,1.74022,
69,120.75,123.754,232.941,110.556,501.961,118.662,674.455,43.3349,308.851,117.342,770.748,34.0345,277.833,49.4192,415.403,13.8324,277.83,46.5254,148.839,11.3621,409.909,46.1216,120.593,20.8487,442.826,4000,0.016397,43,2.5,40,40,501.57,118.78,2539.29,4422.98,1.74181,
70,120.68,123.751,232.879,110.588,502.017,118.664,674.479,43.3336,308.845,117.346,770.742,34.0359,277.836,49.3987,415.103,13.8153,277.831,46.505,148.649,11.3442,410.073,46.1013,120.523,20.8363,442.845,4000,0.0163867,43,2.5,40,40,501.57,118.78,2539.33,4426.84,1.74331,
71,120.614,123.748,232.821,110.619,502.069,118.666,674.5,43.3324,308.839,117.348,770.723,34.0386,277.843,49.3796,414.807,13.7994,277.836,46.4858,148.472,11.3275,410.226,46.0823,120.457,20.8247,442.864,4000,0.0163773,43,2.5,40,40,501.57,118.78,2539.37,4430.44,1.7447,
72,120.552,123.745,232.766,110.648,502.117,118.667,674.52,43.3313,308.834,117.351,770.688,34.043,277.856,49.362,414.507,13.7847,277.846,46.468,148.308,11.3119,410.368,46.0646,120.396,20.8141,442.881,4000,0.0163687,43,2.5,40,40,501.57,118.78,2539.39,4433.79,1.746,
73,120.496,123.742,232.716,110.674,502.162,118.668,674.538,43.3302,308.829,117.353,770.637,34.0491,277.873,49.3457,414.202,13.7711,277.86,46.4515,148.157,11.2975,410.499,46.0482,120.339,20.8042,442.897,4000,0.0163606,43,2.5,40,40,501.57,118.78,2539.41,4436.88,1.74721,
74,120.443,123.74,232.669,110.699,502.204,118.669,674.555,43.3292,308.824,117.355,770.571,34.0568,277.896,49.3306,413.888,13.7585,277.88,46.4363,148.014,11.2842,410.624,46.0331,120.286,20.795,442.911,4000,0.016353,43,2.5,40,40,501.57,118.78,2539.43,4439.73,1.74832,
75,120.394,123.737,232.625,110.721,502.242,118.67,674.57,43.3283,308.82,117.356,770.493,34.0659,277.923,49.3168,413.569,13.7469,277.905,46.4222,147.879,11.2719,410.746,46.0191,120.238,20.7865,442.925,4000,0.0163459,43,2.5,40,40,501.57,118.78,2539.44,4442.36,1.74934,
76,120.35,123.735,232.586,110.742,502.277,118.671,674.583,43.3275,308.816,117.358,770.405,34.0759,277.953,49.304,413.247,13.7362,277.933,46.4092,147.748,11.2605,410.867,46.0062,120.193,20.7786,442.937,4000,0.0163394,43,2.5,40,40,501.57,118.78,2539.46,4444.78,1.75029,
77,120.309,123.733,232.549,110.761,502.309,118.671,674.596,43.3267,308.813,117.36,770.312,34.0866,277.985,49.2922,412.927,13.7264,277.964,46.3972,147.622,11.25,410.987,45.9943,120.152,20.7713,442.949,4000,0.0163335,43,2.5,40,40,501.57,118.78,2539.47,4447.02,1.75116,
78,120.271,123.731,232.515,110.778,502.339,118.672,674.608,43.326,308.81,117.361,770.214,34.0978,278.018,49.2813,412.611,13.7173,277.996,46.3861,147.5,11.2403,411.105,45.9833,120.114,20.7645,442.959,4000,0.0163281,43,2.5,40,40,501.57,118.78,2539.49,4449.08,1.75196,
79,120.235,123.729,232.484,110.795,502.367,118.673,674.619,43.3254,308.806,117.362,770.113,34.1092,278.052,49.2713,412.302,13.7089,278.03,46.3759,147.383,11.2313,411.222,45.9731,120.079,20.7582,442.969,4000,0.0163232,43,2.5,40,40,501.57,118.78,2539.5,4450.98,1.7527,
80,120.203,123.728,232.456,110.81,502.392,118.673,674.63,43.3248,308.804,117.364,770.01,34.1209,278.087,49.2621,412,13.7012,278.064,46.3664,147.272,11.223,411.334,45.9636,120.047,20.7523,442.977,4000,0.0163188,43,2.5,40,40,501.57,118.78,2539.51,4452.74,1.75338,
81,120.173,123.726,232.429,110.824,502.416,118.674,674.639,43.3242,308.801,117.365,769.905,34.1328,278.123,49.2536,411.705,13.6941,278.1,46.3576,147.167,11.2153,411.442,45.955,120.017,20.7469,442.985,4000,0.0163149,43,2.5,40,40,501.57,118.78,2539.53,4454.35,1.75401,
82,120.145,123.725,232.405,110.836,502.438,118.675,674.648,43.3237,308.799,117.366,769.798,34.1448,278.159,49.2458,411.418,13.6876,278.136,46.3496,147.067,11.2083,411.546,45.947,119.989,20.7419,442.993,4000,0.0163113,43,2.5,40,40,501.57,118.78,2539.54,4455.83,1.75458,
83,120.12,123.724,232.383,110.848,502.457,118.675,674.657,43.3232,308.796,117.367,769.689,34.157,278.196,49.2387,411.138,13.6817,278.172,46.3422,146.973,11.2018,411.644,45.9396,119.964,20.7373,443,4000,0.0163081,43,2.5,40,40,501.57,118.78,2539.55,4457.18,1.75511,
84,120.097,123.723,232.362,110.859,502.475,118.676,674.664,43.3228,308.794,117.368,769.58,34.1693,278.232,49.2323,410.865,13.6762,278.209,46.3354,146.885,11.1959,411.739,45.9329,119.941,20.7331,443.006,4000,0.0163051,43,2.5,40,40,501.57,118.78,2539.55,4458.42,1.75559,
85,120.076,123.722,232.344,110.868,502.492,118.676,674.671,43.3224,308.792,117.368,769.471,34.1815,278.269,49.2263,410.6,13.6713,278.246,46.3292,146.801,11.1904,411.83,45.9268,119.92,20.7291,443.011,4000,0.0163025,43,2.5,40,40,501.57,118.78,2539.56,4459.55,1.75603,
86,120.057,123.721,232.327,110.877,502.507,118.676,674.678,43.322,308.79,117.369,769.363,34.1936,278.306,49.221,410.344,13.6668,278.283,46.3236,146.722,11.1855,411.917,45.9212,119.901,20.7255,443.016,4000,0.0163001,43,2.5,40,40,501.57,118.78,2539.57,4460.58,1.75643,
87,120.039,123.72,232.312,110.885,502.52,118.677,674.684,43.3216,308.789,117.37,769.256,34.2055,278.342,49.2161,410.096,13.6627,278.319,46.3184,146.647,11.181,412.001,45.916,119.883,20.7222,443.021,4000,0.0162979,43,2.5,40,40,501.57,118.78,2539.58,4461.52,1.7568,
