Time,M_CompDis,P_CompDis,D_CompDis,T_CompDis,H_CompDis,P_OgcOut,D_OgcOut,T_OgcOut,H_OgcOut,P_EvapExvIn,D_EvapExvIn,T_EvapExvIn,H_EvapExvIn,P_EvapExvOut,D_EvapExvOut,T_EvapExvOut,H_EvapExvOut,P_EvapOut,D_EvapOut,T_EvapOut,H_EvapOut,P_CompSuc,D_CompSuc,T_CompSuc,H_CompSuc,CompSpeed,EvapExvOpening,T_Amb,Vel_Ogc,T_Incar,RH_Incar,Vol_Incar,Optimal_HP,Wcomp,Qc,COP,
0,109.752,83.5087,327.536,40,386.428,83.5087,327.536,40,386.428,83.5087,327.536,40,386.428,83.5087,327.536,40,386.428,83.5087,327.536,40,386.428,83.5087,327.536,40,386.428,1000,0.0630769,43,2.5,40,40,501.57,118.78,-1,-2.20663e-12,2.20663e-12,
1,87.1668,89.2557,331.492,44.8026,391.929,86.5381,339.575,41.9866,385.509,85.8278,332.955,41.7331,387.188,83.1568,325.939,39.7717,386.607,82.5223,324.606,39.278,386.328,82.4367,314.661,39.738,390.16,1200,0.06,43,2.5,40,40,501.57,118.78,99.0644,12.7376,0.128579,
2,98.2066,92.1012,323.206,47.9752,398.828,88.4217,357.149,42.6652,381.189,87.3661,336.353,42.8656,387.735,82.8246,323.347,39.6108,387.201,81.8985,320.089,38.9497,387.301,81.782,302.049,39.92,394.528,1400,0.0569231,43,2.5,40,40,501.57,118.78,172.77,25.8924,0.149866,
3,110.242,94.3535,319.432,50.3939,403.246,89.8693,377.203,42.9084,375.723,88.5608,342.746,43.5145,386.699,82.3429,321.832,39.259,387.184,81.2157,313.669,38.6676,388.971,81.0688,294.915,39.7299,396.633,1600,0.0538462,43,2.5,40,40,501.57,118.78,251.086,42.6633,0.169915,
4,122.644,96.4056,319.045,52.3438,405.96,91.1545,398.579,43.0196,369.921,89.6381,355.882,43.6954,383.027,81.6593,324.949,38.4981,385.107,80.3649,305.718,38.3219,391.084,80.1864,289.911,39.2188,397.609,1800,0.0507692,43,2.5,40,40,501.57,118.78,340.556,67.1723,0.197243,
5,134.571,98.4968,319.308,54.2684,408.42,92.4756,421.793,43.1155,363.848,90.7803,375.684,43.651,377.221,80.8055,334.152,37.3724,380.578,79.3492,296.249,37.9251,393.678,79.1379,284.609,38.5539,398.495,2000,0.0476923,43,2.5,40,40,501.57,118.78,445.578,104.445,0.234403,
6,145.586,100.757,319.114,56.4113,411.286,93.9853,447.259,43.2532,357.53,92.1346,400.592,43.6254,370.249,79.8284,348.435,36.1085,374.297,78.2087,285.455,37.5227,396.781,77.9635,278.277,37.8306,399.681,2200,0.0446154,43,2.5,40,40,501.57,118.78,568.654,159.012,0.279629,
7,155.604,103.261,318.477,58.8569,414.655,95.7993,474.602,43.4624,351.151,93.8177,429.272,43.7297,362.798,78.7552,366.159,34.8829,367.12,76.9772,273.794,37.1441,400.302,76.6972,271.055,37.0761,401.172,2400,0.0415385,43,2.5,40,40,501.57,118.78,711.476,233.362,0.327997,
8,164.672,106.095,317.776,61.6492,418.459,98.0308,503.234,43.7528,344.885,95.9462,460.782,43.986,355.257,77.5921,386.029,33.7593,359.625,75.6709,261.824,36.7897,404.061,75.3557,263.253,36.287,402.867,2600,0.0384615,43,2.5,40,40,501.57,118.78,876.427,327.523,0.373703,
9,172.83,109.391,317.405,64.8598,422.663,100.828,532.832,44.1211,338.792,98.6704,494.263,44.3888,347.878,76.3369,407.078,32.7348,352.161,74.2938,250.045,36.4336,407.847,73.9431,255.084,35.4529,404.688,2800,0.0353846,43,2.5,40,40,501.57,118.78,1067.51,439.479,0.411685,
10,180.085,113.351,317.736,68.6117,427.305,104.408,563.276,44.5579,332.862,102.205,528.853,44.9306,340.845,74.986,428.479,31.7832,344.953,72.8447,238.866,36.0264,411.438,72.4585,246.656,34.5649,406.591,3000,0.0323077,43,2.5,40,40,501.57,118.78,1290.95,565.858,0.438327,
11,186.442,118.285,319.186,73.0923,432.492,109.089,594.452,45.0543,327.087,106.873,563.79,45.6106,334.277,73.6131,445.326,30.9219,338.159,71.3331,228.679,35.5011,414.588,70.9103,238.042,33.628,408.564,3200,0.0292308,43,2.5,40,40,501.57,118.78,1555.74,700.517,0.45028,
12,192.104,124.693,322.527,78.5498,438.307,115.367,626.296,45.6105,321.474,113.162,598.552,46.44,328.25,72.1778,451.338,30.0507,331.788,69.8007,220.188,34.7491,416.868,69.3418,229.538,32.6638,410.527,3400,0.0261538,43,2.5,40,40,501.57,118.78,1875.42,835.556,0.44553,
13,196.79,133.263,328.28,85.3594,445.081,123.935,658.742,46.2256,316.047,121.767,632.913,47.434,322.802,70.6343,456.645,29.0998,325.962,68.183,214.401,33.413,417.399,67.6904,220.826,31.6331,412.555,3600,0.0230769,43,2.5,40,40,501.57,118.78,2270.3,979.126,0.431276,
14,200.034,144.234,335.886,93.626,453.118,134.552,690.76,46.6546,310.679,132.119,665.827,48.2344,317.617,69.1468,462.147,28.1658,320.614,66.4116,214.303,30.8154,414.062,65.8884,211.464,30.5138,414.803,3800,0.0226014,43,2.5,40,40,501.57,118.78,2744.83,1123.46,0.4093,
15,201.506,150.138,336.014,99.0232,459.644,139.439,713.093,45.7327,305.301,136.326,693.666,46.8801,310.479,68.1411,480.829,27.5241,314.001,64.5374,229.695,26.2373,401.764,63.9917,201.656,29.3723,417.294,3992.64,0.0256783,43,2.5,40,40,501.57,118.78,3078.78,1235.65,0.401345,
16,194.407,147.804,326.595,99.6309,462.879,136.805,720.359,44.2504,301.824,133.241,715.797,43.7859,301.941,67.1458,511.134,26.8806,305.766,63.1032,258.415,24.1786,378.833,62.5477,194.154,28.5553,419.338,4000,0.0287552,43,2.5,40,40,501.57,118.78,3033.3,1311.13,0.432246,
17,190.299,140.662,314.73,96.2554,462.023,129.502,713.766,42.9875,301.12,125.694,731.66,40.1879,293.794,66.3312,550.656,26.3476,297.377,62.1123,282.206,23.4938,361.256,61.5577,190.051,27.7894,420.073,4000,0.0318321,43,2.5,40,40,501.57,118.78,2845.31,1367.92,0.480761,
18,185.424,132.683,301.439,92.1219,460.753,121.496,697.911,42.2447,302.891,117.57,741.773,37.1276,287.442,65.4801,587.424,25.7847,290.282,60.9784,301.609,22.699,347.772,60.4237,185.183,26.9523,421.064,4000,0.0349091,43,2.5,40,40,501.57,118.78,2633.83,1461.7,0.55497,
19,179.714,125.322,287.166,88.5672,460.584,114.189,675.586,41.8709,306.494,110.2,745.242,34.9711,283.589,64.5889,611.362,25.1884,285.326,59.8651,315.342,21.9067,338.141,59.3134,179.48,26.3797,422.776,4000,0.037986,43,2.5,40,40,501.57,118.78,2437.18,1605.85,0.658896,
20,174.183,119.066,273.883,85.6373,461.003,108.278,647.858,41.813,311.722,104.496,742.282,33.8286,282.382,63.7394,616.46,24.6134,282.871,58.8634,325.589,21.1833,330.877,58.3149,173.956,26.0176,424.706,4000,0.0391043,43,2.5,40,40,501.57,118.78,2269.32,1759.23,0.775226,
21,169.144,115.651,264.698,84.5968,462.527,105.695,622.633,42.3124,317.415,102.483,736.313,33.8373,283.448,62.5712,594.865,23.812,282.852,57.9557,331.089,20.5192,325.977,57.4136,168.924,25.7617,426.579,4000,0.0360273,43,2.5,40,40,501.57,118.78,2183.7,1928.11,0.882953,
22,164.48,114.094,258.315,84.9102,464.834,104.794,603.506,42.9199,322.146,102.001,728.729,34.3391,285.553,61.4098,562.411,23.0028,284.362,57.1067,322.227,19.8905,326.589,56.576,164.266,25.5768,428.395,4000,0.0329504,43,2.5,40,40,501.57,118.78,2152.72,2116.11,0.982995,
23,160.208,113.579,253.665,85.9929,467.521,104.867,591.522,43.5072,325.446,102.423,721.239,35.0461,287.959,60.3079,528.654,22.2232,286.543,56.3133,304.409,19.2961,331.111,55.7965,159.999,25.4381,430.11,4000,0.0298735,43,2.5,40,40,501.57,118.78,2151.73,2312.53,1.07473,
24,156.377,113.87,250.527,87.6269,470.387,105.715,587.394,44.0411,327.071,103.582,715.078,35.837,290.257,59.2456,497.545,21.4605,288.841,55.5717,283.023,18.7344,338.172,55.0693,156.174,25.3024,431.645,4000,0.0267966,43,2.5,40,40,501.57,118.78,2173.27,2507.86,1.15396,
25,152.942,114.966,248.888,89.7942,473.405,107.365,591.072,44.5341,327.028,105.516,711.135,36.6719,292.219,58.1972,470.272,20.6968,290.933,54.8632,259.981,18.1923,347.569,54.376,152.743,25.1303,432.97,4000,0.0237196,43,2.5,40,40,501.57,118.78,2216.81,2694.7,1.21558,
26,149.789,117.039,248.86,92.6381,476.708,110.007,601.803,45.0315,325.554,108.422,710.055,37.5604,293.738,57.1528,446.942,19.9249,292.647,54.165,236.755,17.6526,359.118,53.6931,149.594,24.899,434.107,4000,0.0206427,43,2.5,40,40,501.57,118.78,2286.41,2875.64,1.25771,
27,146.803,120.463,250.762,96.4572,480.55,114.028,618.583,45.6002,322.994,112.693,712.268,38.5561,294.816,56.1004,426.993,19.1355,293.928,53.4576,214.422,17.1001,372.599,53.0008,146.612,24.6001,435.097,4000,0.0175658,43,2.5,40,40,501.57,118.78,2390.72,3052.81,1.27694,
28,143.878,125.938,255.256,101.754,485.335,120.139,640.523,46.329,319.715,119.04,718.054,39.767,295.574,55.0242,409.454,18.316,294.827,52.7232,193.278,16.5205,388.12,52.2817,143.691,24.2314,435.987,4000,0.0144889,43,2.5,40,40,501.57,118.78,2544.93,3227.37,1.26816,
29,140.905,132.467,260.664,107.786,490.73,126.548,664.291,46.6114,315.551,125.211,725.267,40.7075,295.692,54.4352,399.434,17.8621,295.494,51.9765,174.584,15.9247,404.672,51.5457,140.722,23.8648,436.91,4000,0.0157196,43,2.5,40,40,501.57,118.78,2717.67,3363.35,1.23759,
30,138.405,133.27,258.944,109.692,493.419,126.869,679.479,45.4228,310.962,125.11,730.487,40.1579,293.954,54.4759,402.69,17.8936,294.847,51.4535,164.773,15.5034,414.271,51.0181,138.225,23.8092,437.989,4000,0.0187966,43,2.5,40,40,501.57,118.78,2740.67,3437.96,1.25442,
31,137.001,129.391,252.761,107.63,492.827,122.572,682.298,43.8911,308.196,120.463,734.913,38.5317,290.746,54.6716,416.391,18.0447,292.312,51.1368,171.299,15.2466,404.435,50.699,136.822,23.7313,438.542,4000,0.0218735,43,2.5,40,40,501.57,118.78,2646.62,3474.74,1.3129,
32,136.588,123.585,245.25,103.446,490.226,116.672,673.98,42.7569,308.095,114.523,738.435,36.692,287.369,54.7394,433.554,18.097,288.905,51.0263,186.57,15.1568,386.959,50.5801,136.41,23.6445,438.631,4000,0.0230987,43,2.5,40,40,501.57,118.78,2500.79,3474.51,1.38936,
33,136.256,121.435,242.786,101.664,488.916,115.153,666.226,42.8529,309.706,113.463,743.248,35.9665,285.437,54.0877,437.313,17.5925,286.406,50.8283,195.072,14.9954,377.783,50.3816,136.079,23.3064,438.39,4000,0.0200218,43,2.5,40,40,501.57,118.78,2447.64,3542.03,1.44712,
34,135.311,122.903,244.273,102.985,489.986,117.171,665.854,43.5199,310.751,115.825,748.635,36.0147,284.578,53.2599,432.827,16.9447,285.05,50.4796,187.258,14.7099,383.698,50.0424,135.135,22.9308,438.39,4000,0.0169649,43,2.5,40,40,501.57,118.78,2488.99,3650.34,1.4666,
35,133.929,124.409,245.057,104.709,491.729,118.432,668.627,43.7101,310.501,116.873,752.267,35.8982,283.779,53.0017,433.306,16.741,284.254,50.0982,174.35,14.396,395.678,49.6679,133.755,22.7016,438.763,4000,0.0184739,43,2.5,40,40,501.57,118.78,2530.62,3730.09,1.47398,
36,132.61,124.447,243.867,105.389,492.857,118.512,670.238,43.6129,310.054,116.945,754.92,35.6415,282.938,52.7885,434.715,16.5723,283.401,49.7806,170.695,14.1331,398.36,49.3535,132.438,22.6028,439.261,4000,0.0185241,43,2.5,40,40,501.57,118.78,2534.14,3783.09,1.49285,
37,131.534,124.35,242.762,105.839,493.698,118.492,671.056,43.544,309.799,116.945,757.11,35.4128,282.219,52.5325,435.183,16.369,282.615,49.5112,172.371,13.9091,395.04,49.0842,131.363,22.4929,439.634,4000,0.0183655,43,2.5,40,40,501.57,118.78,2533.87,3834.25,1.5132,
38,130.608,124.267,241.863,106.205,494.38,118.479,671.426,43.5116,309.682,116.953,758.895,35.2269,281.634,52.2771,434.992,16.1653,281.957,49.266,171.985,13.7044,394.261,48.8401,130.438,22.3674,439.921,4000,0.0181931,43,2.5,40,40,501.57,118.78,2533.73,3883.41,1.53269,
39,129.758,124.205,241.07,106.548,495.005,118.479,671.613,43.4974,309.625,116.972,760.383,35.0739,281.151,52.0386,434.422,15.9745,281.415,49.0371,170.517,13.5127,394.824,48.6128,129.589,22.2456,440.177,4000,0.018036,43,2.5,40,40,501.57,118.78,2533.96,3929.3,1.55066,
